accuracy,condition,count_trial_sequence,height,probe,response,rt,subject_nr,tTrajectory,width,xTrajectory,yTrajectory
"1","lie","0","1080","Nighttime is sunny","2","959","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 995, 1044, 1081, 1069, 1021, 908, 775, 643, 624, 757, 1095, 1667, 1919, 1919, 1919, 1913, 1913]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1039, 988, 855, 717, 613, 578, 542, 491, 411, 387, 313, 198, 101, 69, 68, 68, 66, 66]"
"1","truth","1","1080","The sky is blue","1","1775","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351, 1381, 1411, 1441, 1471, 1501, 1531, 1561, 1591, 1621, 1651, 1681, 1711, 1741, 1771]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 971, 981, 931, 769, 620, 492, 401, 374, 374, 374, 374, 366, 346, 323, 309, 323, 324, 348, 348, 348, 348, 348, 348, 348, 348, 348, 348, 339, 323, 316, 317, 319, 319, 318, 316, 298, 262, 219, 170, 139, 135, 133, 133]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1020, 947, 765, 512, 373, 285, 238, 226, 226, 226, 226, 226, 223, 214, 182, 168, 168, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 155, 152, 151, 151, 149, 149, 149, 149, 143, 135, 129, 115, 102, 98, 97, 97]"
"1","lie","2","1080","Pigs can fly","2","1689","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351, 1381, 1411, 1441, 1471, 1501, 1531, 1561, 1591, 1621, 1651, 1681]","1920","[960, 960, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 958, 964, 977, 993, 1000, 999, 986, 968, 921, 867, 825, 803, 781, 771, 770, 790, 941, 1105, 1466, 1826, 1919, 1919, 1919, 1919, 1919, 1919]","[1040, 1040, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1038, 1031, 1004, 970, 941, 919, 862, 806, 719, 626, 554, 526, 506, 500, 497, 480, 403, 312, 180, 98, 47, 24, 6, 5, 0, 0]"
"1","lie","3","1080","Water is dry","2","1033","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021]","1920","[959, 959, 959, 959, 959, 959, 959, 959, 959, 959, 959, 959, 977, 1029, 1067, 1060, 965, 814, 732, 687, 597, 480, 430, 430, 443, 452, 513, 727, 1100, 1523, 1819, 1834, 1834, 1834]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1034, 999, 892, 719, 553, 338, 187, 151, 144, 117, 82, 76, 76, 70, 65, 65, 57, 34, 2, 0, 0, 0, 0]"
"1","truth","4","1080","Humans have 2 hands","1","935","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 964, 979, 992, 1011, 1026, 1025, 1000, 934, 855, 700, 442, 213, 75, 17, 11, 11, 11, 11, 11]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1030, 1016, 977, 924, 808, 677, 576, 532, 485, 438, 354, 226, 103, 35, 0, 0, 0, 0, 0, 0]"
"1","truth","5","1080","Ice is cold","1","1050","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021]","1920","[960, 960, 960, 960, 960, 960, 960, 959, 959, 959, 975, 1009, 1053, 1064, 1067, 1057, 952, 725, 414, 177, 72, 72, 72, 72, 72, 72, 72, 72, 72, 116, 123, 123, 123, 123]","[1039, 1039, 1039, 1039, 1039, 1039, 1039, 1039, 1039, 1039, 1020, 987, 952, 936, 906, 851, 694, 510, 282, 126, 63, 63, 63, 63, 63, 63, 63, 63, 63, 58, 56, 56, 56, 56]"
"1","lie","6","1080","Elephants are purple","2","1263","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 967, 986, 1006, 971, 803, 666, 460, 376, 376, 379, 381, 381, 381, 381, 381, 381, 390, 461, 682, 909, 1303, 1641, 1861, 1884, 1884, 1884, 1884]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1032, 1018, 979, 911, 748, 619, 449, 386, 385, 384, 384, 384, 384, 384, 384, 384, 374, 340, 285, 251, 207, 172, 148, 142, 142, 142, 142]"
"1","truth","7","1080","Grass is green","1","970","106","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 953, 945, 945, 945, 945, 945, 955, 982, 1003, 1012, 1024, 1023, 972, 705, 449, 219, 33, 8, 8, 8, 8, 8, 8]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1039, 1031, 1009, 987, 965, 895, 763, 560, 241, 69, 0, 0, 0, 0, 0, 0, 0, 0]"
