accuracy,condition,count_trial_sequence,height,probe,response,rt,subject_nr,tTrajectory,width,xTrajectory,yTrajectory
"1","lie","0","1080","Pigs can fly","2","1105","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 965, 966, 961, 957, 953, 957, 1013, 1076, 1239, 1477, 1660, 1706, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1711, 1713, 1721, 1723]","[1040, 1040, 1040, 1040, 1039, 1039, 1039, 1039, 1039, 1037, 1033, 1024, 963, 853, 823, 814, 808, 788, 691, 597, 425, 202, 56, 22, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 21, 21]"
"1","truth","1","1080","Humans have 2 hands","1","991","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 962, 964, 968, 997, 1086, 1127, 1121, 1043, 811, 503, 319, 155, 99, 97, 97, 97, 97, 97, 97]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1032, 1022, 1012, 966, 815, 656, 574, 473, 343, 243, 180, 105, 71, 65, 65, 65, 65, 65, 65]"
"1","lie","2","1080","Elephants are purple","2","1544","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351, 1381, 1411, 1441, 1471, 1501, 1531]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 969, 990, 1014, 1097, 1235, 1317, 1325, 1299, 1246, 1229, 1227, 1227, 1227, 1227, 1227, 1227, 1227, 1227, 1219, 1140, 1070, 969, 861, 689, 602, 564, 533, 525, 622, 840, 1089, 1566, 1899, 1919, 1919, 1919, 1919]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1023, 982, 953, 900, 796, 700, 659, 546, 474, 467, 467, 467, 467, 467, 467, 467, 467, 467, 472, 529, 567, 590, 582, 532, 474, 422, 368, 340, 278, 202, 162, 58, 0, 0, 0, 0, 0]"
"1","truth","3","1080","Ice is cold","1","753","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 962, 970, 993, 1036, 1127, 1173, 1124, 905, 532, 265, 55, 11, 11, 11, 11]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1025, 996, 956, 892, 726, 557, 372, 206, 69, 0, 0, 0, 0, 0, 0]"
"1","truth","4","1080","The sky is blue","1","1263","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 952, 819, 675, 438, 312, 335, 437, 677, 880, 932, 939, 940, 940, 940, 940, 920, 788, 589, 430, 274, 208, 202, 202, 196, 192, 192, 192, 190]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1027, 940, 845, 699, 577, 510, 462, 423, 377, 366, 366, 366, 366, 366, 366, 359, 313, 209, 115, 20, 0, 0, 0, 0, 0, 0, 0, 0]"
"1","truth","5","1080","Grass is green","1","867","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 967, 989, 1031, 1102, 1149, 1147, 1079, 865, 590, 433, 287, 272, 270, 251, 209, 189, 165, 153, 153]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1037, 1028, 989, 925, 814, 719, 683, 623, 513, 381, 298, 210, 180, 160, 152, 141, 129, 114, 111, 111]"
"1","lie","6","1080","Water is dry","2","1137","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 947, 927, 879, 854, 839, 835, 835, 837, 837, 837, 850, 858, 859, 881, 1039, 1176, 1243, 1353, 1562, 1849, 1919, 1919, 1919, 1907, 1907, 1907, 1907]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1003, 961, 890, 855, 824, 805, 799, 797, 796, 796, 762, 746, 746, 734, 647, 576, 533, 431, 250, 122, 51, 42, 41, 43, 43, 43, 43]"
"1","lie","7","1080","Nighttime is sunny","2","944","104","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931]","1920","[961, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 966, 987, 1032, 1064, 1067, 1004, 834, 627, 471, 357, 351, 364, 501, 919, 1441, 1858, 1919, 1919, 1918]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1027, 990, 896, 782, 678, 499, 310, 178, 109, 73, 71, 72, 69, 64, 48, 25, 12, 11, 11]"
