accuracy,condition,count_trial_sequence,height,probe,response,rt,subject_nr,tTrajectory,width,xTrajectory,yTrajectory
"1","truth","0","1080","Humans have 2 hands","1","870","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 981, 1012, 1025, 1031, 1015, 1000, 995, 990, 970, 862, 605, 100, 0, 0, 0, 4, 4]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1024, 988, 946, 858, 815, 812, 813, 813, 793, 671, 417, 85, 0, 0, 0, 0, 0]"
"1","lie","1","1080","Water is dry","2","1146","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141]","1920","[960, 960, 960, 960, 960, 960, 960, 961, 961, 961, 960, 953, 928, 854, 755, 724, 742, 825, 1000, 1114, 1298, 1538, 1648, 1651, 1652, 1731, 1823, 1829, 1808, 1510, 1073, 916, 1000, 1464, 1919, 1919, 1918, 1915]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1038, 1027, 979, 848, 689, 642, 634, 615, 561, 530, 450, 319, 240, 233, 233, 169, 114, 109, 99, 53, 47, 62, 73, 44, 0, 0, 0, 0]"
"1","truth","2","1080","Grass is green","1","825","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811]","1920","[960, 960, 960, 960, 960, 960, 960, 962, 963, 963, 967, 971, 993, 1030, 1056, 1071, 1083, 1084, 1056, 953, 698, 265, 0, 0, 0, 6, 7]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1035, 1028, 998, 927, 830, 747, 607, 554, 520, 449, 292, 100, 5, 0, 0, 0, 0]"
"1","lie","3","1080","Elephants are purple","2","1359","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 953, 932, 890, 855, 855, 878, 892, 907, 940, 1024, 1170, 1237, 1245, 1245, 1245, 1245, 1247, 1252, 1262, 1262, 1262, 1262, 1273, 1304, 1497, 1843, 1919, 1919, 1908, 1890, 1890, 1890]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1036, 1025, 967, 895, 858, 815, 767, 740, 716, 665, 590, 554, 550, 550, 550, 550, 550, 550, 544, 544, 543, 543, 536, 510, 383, 206, 59, 24, 15, 10, 10, 10]"
"1","truth","4","1080","Ice is cold","1","727","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 980, 1024, 1077, 1066, 1011, 829, 510, 257, 191, 177, 174, 174, 174]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 983, 887, 644, 555, 484, 348, 153, 20, 0, 0, 0, 0, 0]"
"1","truth","5","1080","The sky is blue","1","1377","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 961, 967, 1029, 1073, 1088, 1079, 1077, 1077, 1077, 1076, 1076, 1076, 1076, 1076, 1076, 1076, 1146, 1509, 1706, 1846, 1849, 1848, 1847, 1845, 1758, 1360, 858, 209, 0, 0, 0, 0]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1026, 1012, 899, 749, 620, 592, 591, 591, 591, 591, 591, 591, 591, 591, 591, 591, 575, 463, 383, 268, 246, 245, 245, 245, 240, 185, 138, 129, 136, 134, 133, 133]"
"0","lie","6","1080","Pigs can fly","1","1054","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 957, 957, 955, 946, 934, 895, 777, 662, 639, 656, 739, 820, 841, 816, 695, 425, 126, 0, 0, 5, 17, 19]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1039, 1039, 1038, 1027, 1011, 938, 819, 726, 680, 592, 462, 364, 313, 252, 171, 112, 100, 98, 98, 99, 102, 103]"
"0","lie","7","1080","Nighttime is sunny","1","2136","103","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351, 1381, 1411, 1441, 1471, 1501, 1531, 1561, 1591, 1621, 1651, 1681, 1711, 1741, 1771, 1801, 1831, 1861, 1891, 1921, 1951, 1981, 2011, 2041, 2071, 2101, 2131]","1920","[960, 961, 961, 961, 962, 962, 962, 962, 962, 962, 965, 968, 968, 968, 961, 954, 951, 940, 902, 873, 861, 844, 831, 829, 828, 828, 827, 827, 827, 827, 827, 827, 827, 827, 827, 836, 844, 845, 847, 847, 847, 843, 799, 689, 609, 539, 532, 532, 532, 541, 555, 562, 564, 582, 774, 1201, 1440, 1635, 1669, 1669, 1669, 1669, 1662, 1410, 869, 140, 0, 0, 7, 22, 22]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1036, 1007, 985, 968, 949, 924, 900, 848, 755, 709, 690, 668, 644, 634, 630, 627, 627, 627, 627, 627, 627, 627, 627, 627, 627, 609, 593, 590, 587, 580, 575, 563, 489, 372, 298, 241, 235, 235, 235, 234, 234, 236, 236, 235, 198, 159, 169, 157, 150, 150, 150, 150, 149, 135, 73, 0, 0, 0, 0, 1, 1]"
