accuracy,condition,count_trial_sequence,height,probe,response,rt,subject_nr,tTrajectory,width,xTrajectory,yTrajectory
"1","lie","0","1080","Elephants are purple","2","928","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901]","1920","[960, 960, 960, 960, 960, 960, 976, 991, 939, 722, 542, 378, 313, 290, 283, 275, 274, 273, 273, 273, 273, 396, 951, 1803, 1919, 1919, 1916, 1902, 1901, 1901]","[1040, 1040, 1040, 1040, 1040, 1040, 1002, 833, 530, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 0, 0, 37, 32, 28, 28, 28]"
"1","truth","1","1080","Ice is cold","1","920","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 970, 978, 995, 1005, 992, 897, 669, 354, 158, 70, 33, 23, 23, 24, 26, 32, 32, 33]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1036, 1007, 987, 931, 839, 750, 663, 524, 343, 250, 180, 104, 62, 40, 30, 21, 0, 0, 0]"
"1","truth","2","1080","Grass is green","1","1120","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111]","1920","[960, 960, 960, 960, 960, 961, 962, 964, 964, 964, 967, 985, 1036, 1170, 1321, 1434, 1459, 1461, 1471, 1483, 1484, 1484, 1484, 1484, 1424, 1231, 862, 544, 319, 107, 92, 92, 92, 92, 92, 92, 92]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1041, 1041, 1041, 1042, 1026, 946, 754, 538, 374, 327, 315, 316, 319, 319, 319, 319, 319, 329, 336, 319, 253, 178, 90, 78, 77, 77, 77, 77, 77, 77]"
"1","truth","3","1080","Humans have 2 hands","1","1128","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111]","1920","[960, 960, 960, 960, 960, 961, 962, 964, 964, 964, 965, 965, 966, 967, 967, 967, 968, 968, 967, 961, 957, 947, 947, 965, 992, 1020, 969, 738, 511, 234, 0, 0, 0, 0, 3, 5, 5]","[1040, 1040, 1040, 1040, 1040, 1040, 1041, 1041, 1041, 1041, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1038, 1034, 1027, 1016, 983, 907, 845, 790, 682, 551, 395, 270, 80, 0, 0, 0, 0, 0, 0, 0]"
"1","truth","4","1080","The sky is blue","1","912","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 967, 978, 988, 889, 690, 394, 64, 0, 0, 1, 1, 1, 1, 1]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1023, 1000, 924, 684, 443, 235, 104, 41, 31, 24, 20, 20, 20, 20]"
"1","lie","5","1080","Water is dry","2","1010","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 962, 983, 993, 993, 995, 1009, 1007, 970, 955, 993, 1150, 1453, 1867, 1919, 1919, 1919, 1919, 1919, 1919]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1036, 1006, 985, 982, 974, 946, 905, 825, 694, 549, 356, 199, 88, 67, 55, 50, 50, 50, 50]"
"1","lie","6","1080","Pigs can fly","2","1505","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231, 1261, 1291, 1321, 1351, 1381, 1411, 1441, 1471, 1501]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 933, 909, 887, 877, 868, 866, 871, 879, 902, 928, 948, 949, 949, 949, 949, 949, 967, 1003, 985, 945, 909, 907, 905, 904, 904, 904, 976, 1202, 1607, 1910, 1919, 1919, 1915, 1913, 1913, 1913]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1023, 1005, 977, 942, 883, 844, 818, 812, 800, 788, 780, 780, 780, 780, 780, 780, 751, 652, 593, 553, 517, 485, 444, 439, 439, 438, 377, 283, 139, 65, 37, 35, 33, 33, 33, 33]"
"1","lie","7","1080","Nighttime is sunny","2","1233","101","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141, 1171, 1201, 1231]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 962, 974, 977, 976, 1023, 1103, 1145, 1161, 1161, 1143, 1044, 744, 439, 162, 8, 11, 137, 539, 1043, 1587, 1915, 1919, 1919, 1919, 1919, 1919]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1039, 1014, 976, 950, 924, 881, 858, 839, 833, 813, 763, 666, 561, 405, 292, 285, 290, 308, 285, 162, 6, 0, 0, 0, 0, 0]"
