accuracy,condition,count_trial_sequence,height,probe,response,rt,subject_nr,tTrajectory,width,xTrajectory,yTrajectory
"1","lie","0","1080","Nighttime is sunny","2","977","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 962, 963, 971, 983, 916, 785, 518, 283, 193, 191, 265, 338, 345, 345, 475, 835, 1361, 1739, 1902, 1899, 1890, 1890]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1036, 1029, 990, 875, 669, 519, 360, 228, 153, 146, 105, 69, 65, 65, 51, 25, 3, 0, 0, 0, 0, 0]"
"1","truth","1","1080","Humans have 2 hands","1","848","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 964, 1000, 1036, 1054, 1044, 997, 958, 914, 857, 705, 529, 275, 74, 0, 0, 1, 3, 3]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1037, 1011, 959, 901, 850, 727, 677, 650, 618, 520, 408, 271, 162, 66, 39, 36, 32, 32]"
"1","truth","2","1080","Ice is cold","1","1141","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051, 1081, 1111, 1141]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 961, 963, 989, 1017, 1041, 1036, 966, 795, 611, 355, 249, 235, 266, 420, 457, 441, 411, 366, 323, 306, 298, 288, 282, 281, 281, 259, 200]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1039, 1001, 920, 863, 845, 812, 736, 619, 434, 294, 212, 182, 106, 85, 79, 57, 30, 17, 16, 16, 18, 21, 21, 21, 28, 31]"
"1","lie","3","1080","Water is dry","2","913","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 952, 893, 796, 655, 629, 706, 824, 1014, 1110, 1141, 1166, 1250, 1371, 1421, 1428, 1458, 1535, 1655, 1731, 1737, 1737]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1023, 903, 771, 621, 543, 443, 384, 341, 329, 320, 303, 254, 190, 154, 145, 123, 76, 28, 0, 0, 0]"
"0","lie","4","1080","Elephants are purple","1","759","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 961, 1045, 1120, 1260, 1315, 1260, 1117, 701, 168, 0, 4, 29, 39, 39, 39]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1003, 916, 716, 523, 438, 372, 227, 0, 0, 0, 0, 0, 0, 0]"
"1","truth","5","1080","Grass is green","1","818","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 991, 1119, 1233, 1360, 1374, 1234, 1022, 608, 151, 0, 0, 0, 0, 0]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1016, 896, 740, 555, 417, 289, 208, 122, 45, 0, 0, 0, 0, 0]"
"1","lie","6","1080","Pigs can fly","2","1049","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 964, 1039, 1066, 1010, 847, 646, 594, 594, 594, 605, 608, 608, 608, 608, 611, 726, 1170, 1669, 1919, 1919, 1919, 1919]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1029, 683, 374, 275, 175, 106, 98, 98, 98, 100, 101, 101, 101, 101, 102, 91, 63, 11, 0, 0, 0, 0]"
"1","truth","7","1080","The sky is blue","1","1064","105","[31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361, 391, 421, 451, 481, 511, 541, 571, 601, 631, 661, 691, 721, 751, 781, 811, 841, 871, 901, 931, 961, 991, 1021, 1051]","1920","[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 959, 938, 818, 593, 437, 402, 388, 376, 371, 371, 371, 365, 296, 207, 79, 45, 50, 52, 52, 52]","[1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1040, 1037, 986, 837, 674, 581, 552, 521, 495, 488, 488, 488, 477, 381, 264, 80, 0, 0, 0, 0, 0]"
